player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Aaron Long,DF,United States,30-067,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Aaron Mooy,MF,Australia,32-094,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Aaron Ramsdale,GK,England,24-218,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Aaron Ramsey,MF,Wales,31-357,1990,3,266,89,98.5,3.0,3,89,2,0,,0,0.33,1,4,-3,-1.02,+43.98,2.6,4.1,-1.5,-0.49,+9.06
Abdelhamid Sabiri,MF,Morocco,26-020,1996,5,181,36,27.4,2.0,2,55,0,3,24,2,1.60,5,3,+2,+0.99,+1.18,3.1,1.6,+1.5,+0.90,+1.30
Abdelkarim Hassan,DF,Qatar,29-112,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,
Abderrazak Hamdallah,FW,Morocco,32-001,1990,4,68,17,10.3,0.8,0,,0,4,17,3,1.75,2,1,+1,+1.32,+1.32,1.9,1.0,+0.9,+1.16,+1.42
Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,3,93,31,14.1,1.0,0,,0,3,31,4,0.67,0,1,-1,-0.97,-1.29,1.1,1.4,-0.3,-0.48,-0.41
Abdou Diallo,DF,Senegal,26-228,1996,4,331,83,91.9,3.7,4,83,3,0,,0,1.50,5,5,0,0.00,+6.21,4.0,3.2,+0.8,+0.21,-0.59
Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,1,1,1,0.4,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+0.67,0.0,0.0,0.0,-3.29,-2.82
Abdulaziz Hatem,MF,Qatar,32-051,1990,3,196,65,72.6,2.2,2,87,1,1,22,0,0.00,1,5,-4,-1.84,+0.60,0.7,3.0,-2.4,-1.08,-1.36
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,3,182,61,67.4,2.0,2,90,2,1,2,0,1.00,1,4,-3,-1.48,-2.51,2.8,3.9,-1.1,-0.53,+1.49
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,1994,2,174,87,64.4,1.9,2,87,1,0,,0,1.50,2,3,-1,-0.52,+0.42,1.8,3.5,-1.7,-0.90,+0.31
Abdullah Madu,DF,Saudi Arabia,29-156,1993,1,45,45,16.7,0.5,0,,0,1,45,2,0.00,1,2,-1,-2.00,-1.60,0.9,1.3,-0.4,-0.79,+0.27
Abdullah Otayf,MF,Saudi Arabia,30-137,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,1995,2,35,18,13.0,0.4,0,,0,2,18,1,0.00,1,0,+1,+2.57,+3.72,0.8,0.9,-0.1,-0.18,+0.95
Abolfazl Jalali,DF,IR Iran,24-175,1998,1,19,19,7.0,0.2,0,,0,1,19,2,0.00,0,0,0,0.00,+1.08,0.2,0.1,+0.1,+0.43,+0.81
Achraf Dari,DF,Morocco,23-226,1999,3,187,62,28.3,2.1,2,77,1,1,34,4,1.00,1,4,-3,-1.44,-2.20,2.3,3.1,-0.8,-0.37,-0.37
Achraf Hakimi,DF,Morocco,24-044,1998,7,631,90,95.6,7.0,7,90,5,0,,0,1.57,4,5,-1,-0.14,-6.35,5.3,7.4,-2.1,-0.31,-2.21
Adam Davies,GK,Wales,30-154,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Adrien Rabiot,MF,France,27-259,1995,6,483,81,73.2,5.4,5,91,4,1,28,0,2.17,13,6,+7,+1.30,+0.80,10.4,7.2,+3.2,+0.59,+0.32
Agustín Canobbio,MF,Uruguay,24-078,1998,1,11,11,4.1,0.1,0,,0,1,11,2,3.00,0,0,0,0.00,0.00,0.2,0.6,-0.4,-3.14,-3.32
Ahmad Nourollahi,MF,IR Iran,29-319,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,1,6,-5,-2.02,-5.85,1.6,3.1,-1.5,-0.60,-1.61
Ahmed Alaaeldin,FW,Qatar,29-321,1993,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,0,0,0.00,+2.05,0.0,0.0,0.0,-0.07,+0.65
Ahmed Reda Tagnaouti,GK,Morocco,26-257,1996,0,,,,,0,,0,0,,7,,,,,,,,,,,
Aimen Dahmen,GK,Tunisia,25-324,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Ajdin Hrustic,MF,Australia,26-166,1996,3,62,21,17.2,0.7,0,,0,3,21,1,2.00,1,0,+1,+1.45,+2.36,0.6,1.6,-1.0,-1.44,-0.25
Akram Afif,FW,Qatar,26-030,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,
Alan Franco,MF,Ecuador,24-119,1998,2,46,23,17.0,0.5,1,45,0,1,1,1,1.50,0,1,-1,-1.96,-2.76,0.1,1.6,-1.4,-2.79,-3.83
Alejandro Balde,DF,Spain,19-061,2003,4,126,32,32.3,1.4,1,67,0,3,20,0,1.25,4,3,+1,+0.71,-0.99,1.9,1.7,+0.2,+0.19,-0.60
Aleksandar Mitrović,FW,Serbia,28-093,1994,3,262,87,97.0,2.9,3,87,2,0,,0,0.33,5,8,-3,-1.03,-1.03,3.3,7.3,-3.9,-1.35,-1.13
Alex Sandro,DF,Brazil,31-326,1991,3,190,63,39.6,2.1,2,88,1,1,15,0,2.33,3,1,+2,+0.95,+0.02,3.4,0.6,+2.7,+1.41,-0.70
Alex Telles,DF,Brazil,30-003,1992,2,59,30,12.3,0.7,1,54,0,1,5,1,1.50,0,0,0,0.00,-1.07,1.4,0.2,+1.2,+1.79,-0.08
Alexander Bah,DF,Denmark,25-009,1997,2,46,23,17.0,0.5,0,,0,2,23,1,0.00,0,1,-1,-1.96,-1.55,0.4,0.4,-0.1,-0.16,+0.28
Alexander Djiku,DF,Ghana,28-131,1994,2,97,49,35.9,1.1,1,89,0,1,8,1,1.50,2,3,-1,-0.93,-0.41,0.9,2.4,-1.4,-1.33,-1.33
Alexander Domínguez,GK,Ecuador,35-196,1987,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alexis Mac Allister,MF,Argentina,23-359,1998,6,550,92,79.7,6.1,6,92,1,0,,1,2.33,13,5,+8,+1.31,+1.95,11.3,2.8,+8.5,+1.47,+0.36
Alexis Vega,FW,Mexico,25-023,1997,3,193,64,71.5,2.1,3,64,0,0,,0,1.33,0,1,-1,-0.47,-0.47,1.9,1.3,+0.7,+0.31,+0.02
Alfred Gomis,GK,Senegal,29-104,1993,0,,,,,0,,0,0,,4,,,,,,,,,,,
Alfredo Talavera,GK,Mexico,40-091,1982,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ali Abdi,DF,Tunisia,28-363,1993,3,188,63,69.6,2.1,2,90,2,1,8,0,1.33,0,1,-1,-0.48,-1.58,1.8,2.3,-0.4,-0.21,-0.14
Ali Al Hassan,MF,Saudi Arabia,25-289,1997,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,0,0,0.00,+0.80,0.2,1.0,-0.8,-1.56,-0.66
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989,3,216,72,80.0,2.4,3,72,2,0,,0,1.00,2,3,-1,-0.42,+1.25,2.0,4.5,-2.6,-1.06,-0.27
Ali Assadalla,MF,Qatar,29-333,1993,1,27,27,10.0,0.3,0,,0,1,27,2,0.00,0,0,0,0.00,+2.22,0.0,0.0,0.0,+0.06,+0.86
Ali Gholizadeh,MF,IR Iran,26-283,1996,3,199,66,73.7,2.2,2,77,0,1,45,0,1.00,2,4,-2,-0.90,+0.36,2.3,3.0,-0.6,-0.29,+0.11
Ali Karimi,MF,IR Iran,28-310,1994,3,99,33,36.7,1.1,1,45,0,2,27,0,1.00,2,3,-1,-0.91,+0.14,1.1,1.4,-0.3,-0.28,+0.06
Ali Maâloul,DF,Tunisia,32-351,1990,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,0.8,-0.3,-0.30,-0.20
Alidu Seidu,DF,Ghana,22-197,2000,2,155,78,57.4,1.7,2,78,1,0,,1,0.00,0,3,-3,-1.74,-2.52,1.6,3.3,-1.6,-0.95,-1.12
Alireza Beiranvand,GK,IR Iran,30-088,1992,2,109,55,40.4,1.2,2,55,1,0,,0,0.00,0,1,-1,-0.83,+0.29,0.4,1.3,-0.9,-0.71,-0.66
Alireza Jahanbakhsh,MF,IR Iran,29-129,1993,2,59,30,21.9,0.7,1,45,0,1,14,0,1.50,2,3,-1,-1.53,-0.67,0.6,1.1,-0.4,-0.62,-0.39
Alisson,GK,Brazil,30-077,1992,4,379,95,79.0,4.2,4,95,3,0,,1,2.50,8,2,+6,+1.42,+2.32,9.2,1.5,+7.7,+1.99,+0.48
Alistair Johnston,DF,Canada,24-071,1998,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Almoez Ali,FW,Qatar,26-121,1996,3,224,75,83.0,2.5,3,75,1,0,,0,0.00,1,7,-6,-2.41,-2.41,1.3,3.5,-2.1,-0.86,-0.88
Alphonse Areola,GK,France,29-294,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,
Alphonso Davies,MF,Canada,22-046,2000,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,7,-5,-1.67,,4.2,3.9,+0.3,+0.11,
Amadou Onana,MF,Belgium,21-124,2001,2,104,52,38.5,1.2,1,59,0,1,45,0,1.50,0,0,0,0.00,+0.54,1.2,0.7,+0.4,+0.36,+0.49
Amir Abedzadeh,GK,IR Iran,29-236,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Anass Zaroury,FW,Morocco,22-041,2000,1,27,27,4.1,0.3,0,,0,1,27,6,0.00,0,0,0,0.00,-0.14,0.4,0.3,+0.1,+0.40,+0.53
Andre-Frank Zambo Anguissa,MF,Cameroon,27-032,1995,3,260,87,96.3,2.9,3,87,2,0,,0,1.33,4,4,0,0.00,0.00,3.4,5.6,-2.3,-0.78,-0.04
Andreas Christensen,DF,Denmark,26-252,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Andreas Cornelius,FW,Denmark,29-277,1993,3,92,31,34.1,1.0,1,45,0,2,24,0,0.33,0,0,0,0.00,+1.01,1.3,1.0,+0.3,+0.33,+1.10
Andreas Skov Olsen,FW,Denmark,22-354,1999,2,132,66,48.9,1.5,2,66,0,0,,1,0.50,0,1,-1,-0.68,-0.03,0.8,1.4,-0.7,-0.45,-0.11
Andrej Kramarić,FW,Croatia,31-182,1991,7,474,68,68.7,5.3,7,68,0,0,,0,1.43,6,6,0,0.00,-0.42,4.7,7.5,-2.8,-0.54,-0.03
Andrew Redmayne,GK,Australia,33-339,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,
